CustomerID,FirstName,LastName,TopGenre,GenreTotalSpent
1,Luís,Gonçalves,Rock,13.86
2,Leonie,Köhler,Rock,16.83
3,François,Tremblay,Metal,9.9
4,Bjørn,Hansen,Rock,16.83
5,František,Wichterlová,Rock,14.85
6,Helena,Holý,TV Shows,11.94
7,Astrid,Gruber,Rock,14.85
8,Daan,Peeters,Rock,20.79
9,Kara,Nielsen,Rock,20.79
10,Eduardo,Martins,Rock,28.71
11,Alexandre,Rocha,Latin,15.84
12,Roberto,Almeida,Latin,15.84
13,Fernanda,Ramos,Rock,10.89
14,Mark,Philips,Rock,12.87
15,Jennifer,Peterson,Rock,11.88
16,Frank,Harris,Metal,11.88
17,Jack,Smith,Rock,7.92
18,Michelle,Brooks,Rock,18.81
19,Tim,Goyer,Rock,14.85
20,Dan,Miller,Latin,13.86
21,Kathy,Chase,Rock,8.91
22,Heather,Leacock,Metal,11.88
23,John,Gordon,Latin,11.88
24,Frank,Ralston,Rock,11.88
25,Victor,Stevens,Rock,13.86
26,Richard,Cunningham,Rock,13.86
27,Patrick,Gray,Rock,15.84
28,Julia,Barnett,Rock,16.83
29,Robert,Brown,Rock,24.75
30,Edward,Francis,Rock,18.81
31,Martha,Silk,Latin,12.87
32,Aaron,Mitchell,Latin,13.86
33,Ellie,Sullivan,Rock,18.81
34,João,Fernandes,Rock,14.85
35,Madalena,Sampaio,Rock,15.84
36,Hannah,Schneider,Metal,17.82
37,Fynn,Zimmermann,Rock,10.89
38,Niklas,Schröder,Rock,20.79
39,Camille,Bernard,Rock,12.87
40,Dominique,Lefebvre,Rock,16.83
41,Marc,Dubois,Rock,9.9
42,Wyatt,Girard,Metal,13.86
43,Isabelle,Mercier,Rock,17.82
44,Terhi,Hämäläinen,Rock,17.82
45,Ladislav,Kovács,Rock,10.89
46,Hugh,O'Reilly,TV Shows,13.93
47,Lucas,Mancini,Rock,17.82
48,Johannes,Van der Berg,Rock,17.82
49,Stanisław,Wójcik,Rock,21.78
50,Enrique,Muñoz,Rock,21.78
51,Joakim,Johansson,Latin,11.88
52,Emma,Jones,Latin,14.85
53,Phil,Hughes,Rock,17.82
54,Steve,Murray,Rock,10.89
55,Mark,Taylor,Rock,21.78
56,Diego,Gutiérrez,Alternative & Punk,8.91
57,Luis,Rojas,Rock,8.91
58,Manoj,Pareek,Rock,12.87
59,Puja,Srivastava,Rock,11.88
